insolacao_1,insolacao_2,insolacao_3,insolacao_4,pressao_1,pressao_2,pressao_3,pressao_4,temp_condensada_1,temp_condensada_2,temp_condensada_3,temp_condensada_4,humidade_1,humidade_2,humidade_3,humidade_4,precipitação_1,precipitação_2,precipitação_3,precipitação_4,el_12_1,el_12_2,el_12_3,el_12_4,el_34_1,el_34_2,el_34_3,el_34_4,el_3_1,el_3_2,el_3_3,el_3_4,el_4_1,el_4_2,el_4_3,el_4_4,NTA_1,NTA_2,NTA_3,NTA_4,TNA_1,TNA_2,TNA_3,TNA_4,TSA_1,TSA_2,TSA_3,TSA_4,crop_anterior,crop_barbalha_total
189.8,213.1,199.4,254.7,962.82043,963.37381,962.983871,964.385556,25.849677,25.793571,24.692258,25172.0,69.419355,70.883929,80.193548,73.5,294.3,94.5,330.4,112.8,23.79,25.56,26.45,24.64,24.86,25.43,26.33,26.7,24.41,25.52,26.68,26.71,26.64,26.56,26.98,27.41,-0.11,-0.32,-0.38,-0.31,-0.1,-0.2,-0.23,-0.13,0.13,0.05,0.33,0.45,7168.0,7358.0
197.0,202.3,201.1,231.4,963.984946,965.352874,964.265217,965.247778,25.402581,25.216552,24.93,24.935333,76.08871,75.913793,77.416667,77.483333,158.7,236.4,85.3,265.9,23.81,25.48,26.02,25.5,24.78,25.21,26.3,26.95,24.0,25.27,26.7,27.41,26.99,26.73,26.89,27.2,-0.13,-0.16,-0.14,-0.15,-0.18,-0.1,0.06,-0.01,0.21,0.39,0.4,0.37,7358.0,4485.0
165.7,233.7,239.1,228.1,966.18125,966.267949,966.066667,965.514773,24.81871,25.340714,25.256774,25.127333,80.209677,75.053571,78.532258,76.808333,280.1,86.0,134.6,107.8,23.79,26.03,27.25,26.35,26.39,26.71,27.29,27.84,25.17,26.16,27.35,27.58,28.72,28.66,28.57,29.03,0.61,0.51,0.25,0.0,0.78,0.53,0.37,-0.02,0.14,-0.06,0.29,0.31,4372.0,4242.0
224.7,167.5,231.3,265.1,965.965591,966.047619,965.739785,966.404444,27.056129,25.667857,25.436774,25412.0,58.25,72.642857,76.983871,74925.0,248.4,141.8,286.3,104.2,24.69,25.98,26.42,24.98,27.15,27.39,27.65,27.68,26.23,26.84,27.39,27.14,28.89,28.88,28.92,28.96,-0.0,0.01,-0.02,0.01,0.27,0.0,0.04,0.0,0.56,0.57,0.63,0.42,4242.0,4378.0
142.0,201.0,225.0,222.4,964.886022,966.009195,965.66129,965.885556,25.916129,25.30069,25.207097,25.416667,80.370968,82.586207,83.008065,82625.0,513.3,461.9,213.1,105.2,24.36,26.03,25.75,24.96,26.81,26.98,27.4,27.89,26.08,26.7,27.34,27.52,28.75,28.57,28.42,28.71,0.49,0.47,0.38,0.19,0.5,0.51,0.36,0.46,0.41,0.22,-0.01,-0.26,4378.0,4092.0
227.4,212.3,185.6,255.1,964.426882,964.495238,965.631183,965.991111,27.336774,26.979286,26.260645,25848.0,65.395161,70.294643,76.591667,76.65,146.7,98.3,420.4,79.7,24.54,25.16,25.03,25.12,27.21,27.11,27.73,28.08,25.98,26.31,27.14,27.53,29.2,28.87,28.93,29.05,0.38,0.47,0.57,0.75,0.46,0.38,0.68,0.81,0.61,0.49,0.61,0.29,4092.0,3559.0
283.5,169.8,200.9,179.5,964.252688,965.066667,965.713978,965.312222,27.698065,25.297143,25.08,24716.0,63.008065,84.964286,85.725806,86875.0,41.7,252.3,247.7,226.7,24.19,26.32,26.2,24.04,25.63,26.08,26.57,27.5,24.85,26.06,26.65,27.16,27.82,27.52,27.73,28.29,0.39,0.19,0.16,0.25,0.41,0.19,0.18,0.41,0.04,0.23,0.41,0.31,3559.0,3757.0
264.8,172.4,244.7,242.7,965.326882,965.94881,965.782796,965.91,27.096129,25.390714,25.133548,25448.0,70.435484,84.446429,81.395161,81.433333,83.9,372.4,98.1,165.0,25.23,26.21,25.84,24.31,27.24,26.88,27.1,27.5,26.53,26.49,26.8,26.95,28.97,28.66,28.66,28.73,0.4,0.42,0.44,0.31,0.46,0.56,0.33,0.4,0.24,0.21,0.04,0.24,3757.0,3003.0
232.3,163.0,222.6,132.7,965.206452,964.995238,964.886022,966.19,26.483226,25215.0,25.405161,24596.0,80.330645,86.776786,86.604839,91025.0,60.4,96.7,154.9,394.2,24.4,25.42,25.67,25.94,25.66,25.96,26.59,27.47,25.15,25.84,26.49,27.41,27.37,27.35,27.74,28.37,-0.12,-0.29,-0.4,-0.38,0.07,-0.37,-0.34,-0.31,0.45,0.35,0.54,0.52,3219.0,3467.0
206.4,200.3,240.1,244.1,965.619355,965.042857,965.089247,965.435556,25.328387,26.242857,26.52,26.126667,84.112903,82.0625,80.91129,81.25,232.1,111.5,177.6,299.8,24.85,26.22,26.56,25.43,28.07,28.01,28.18,28.2,26.73,27.28,27.76,27.85,29.44,29.08,29.07,29.13,0.57,0.83,1.04,1.13,0.8,1.07,1.27,1.4,0.79,0.68,0.89,0.68,3467.0,3905.0
196.5,131.9,258.6,247.0,964.023656,966.03,964.874725,966.408333,25.151613,24.551667,25.149677,25004.0,85.806452,93.2,88.782258,90.7,367.6,295.2,262.8,84.0,24.08,25.94,25.61,25.34,25.0,25.64,26.36,27.05,24.4,25.63,26.47,27.25,26.92,27.15,27.51,27.89,0.81,0.64,0.43,0.33,0.97,0.53,0.41,0.33,0.45,0.59,0.72,0.49,3905.0,2066.0
212.3,214.3,266.6,263.0,965.148387,965.841379,966175.0,965.35,25.866452,25.870345,25.134839,25442.0,78.5,84.0,86.766129,80.491667,38.6,147.4,221.9,53.0,24.38,26.46,26.65,26.44,25.67,26.08,26.67,27.32,25.09,26.22,27.02,27.56,27.3,27.29,27.56,28.03,-0.08,-0.15,-0.17,-0.1,0.16,-0.02,-0.26,-0.17,-0.32,-0.51,-0.08,-0.33,2066.0,1605.0
205.0,247.4,232.8,217.0,965.202151,965.553571,965.243956,966.84,27.085806,26.697143,26.581935,25.08,74.040323,79.142857,79.774194,86.908333,168.3,119.4,319.1,170.0,23.89,25.37,25.81,24.31,26.01,26.24,27.03,27.57,25.0,25.84,27.08,27.22,28.24,28.01,27.95,28.36,0.43,0.46,0.48,0.53,0.44,0.4,0.7,0.53,0.39,0.25,0.26,0.35,1605.0,1173.0
257.4,176.9,203.2,197.0,965.52043,965.578571,965.804396,966.882192,26.414194,25.762143,25.056129,25.032667,64.516129,82.178571,82.58871,86.491667,57.2,240.1,464.5,200.8,24.56,25.49,26.17,25.51,26.05,26.14,27.0,27.9,25.23,25.62,26.89,27.64,28.14,28.27,28.6,28.98,0.01,-0.19,-0.23,-0.17,0.13,-0.08,-0.35,-0.21,0.11,0.22,0.22,0.23,1173.0,1617.0
266.8,195.9,243.5,244.6,966.230108,966.728571,965.76044,966.227778,26.843226,26.161429,25.534839,25272.0,61.66129,76.576923,78.685484,79.083333,149.5,143.0,242.7,239.9,24.41,25.57,26.57,26.54,27.05,27.17,27.75,28.52,26.01,26.46,27.3,28.21,29.07,29.07,29.22,29.61,0.09,-0.05,-0.18,-0.16,0.17,0.11,-0.11,-0.24,0.43,0.42,0.23,0.36,1617.0,1249.0
158.0,252.4,234.4,262.5,966.177419,967.07931,967.125806,965.834444,26.165333,26.405517,27.073548,26.257333,74.685484,77.607143,78.129032,74.533333,231.1,60.9,198.5,33.5,26.36,27.4,27.83,25.98,29.11,29.01,28.9,28.72,28.25,28.38,28.74,28.2,29.54,29.41,29.39,29.37,0.37,0.34,0.25,0.24,0.5,0.45,0.39,0.32,0.81,0.59,0.6,0.39,1249.0,996.0
235.9,181.1,192.9,252.3,964.830108,965.757143,966.240323,965.68,27.449032,25.907143,25.083226,25.244667,62.830645,84.357143,86.564516,76.583333,198.8,222.0,166.3,100.1,25.5,27.46,28.1,26.59,26.12,26.67,27.32,28.03,25.58,26.83,27.55,28.03,28.16,28.11,28.29,28.69,0.29,0.23,0.22,0.38,0.49,0.23,0.13,0.47,0.58,0.09,0.29,0.4,996.0,1166.0
209.4,170.6,199.3,183.5,964.949462,965.796429,966.183333,967.246667,26.369677,25.213571,25.27,24.577333,74.395161,90.423077,90.071429,89.793103,159.7,330.3,181.1,127.1,23.44,25.13,25.13,24.51,25.57,25.97,26.48,27.31,24.48,25.5,26.27,26.96,27.88,27.85,28.1,28.65,0.17,0.02,-0.17,-0.25,0.28,-0.09,0.02,-0.17,0.62,-0.01,0.17,0.28,1166.0,1456.0
302.7,210.2,241.6,232.2,966.451613,966925.0,967.190323,967.283333,26.636774,26.121429,26.086452,25.841333,86.962963,89.444444,91.321429,88.655172,70.4,101.9,193.9,139.9,25.4,26.62,26.61,25.83,27.19,27.46,28.09,28.44,26.26,26.99,27.84,28.13,29.08,28.91,28.96,29.15,-0.04,-0.09,-0.09,-0.09,0.08,0.14,0.01,-0.02,0.75,0.68,1.02,0.65,1456.0,1509.0
