insolacao_1,insolacao_2,insolacao_3,insolacao_4,pressao_1,pressao_2,pressao_3,pressao_4,temp_condensada_1,temp_condensada_2,temp_condensada_3,temp_condensada_4,humidade_1,humidade_2,humidade_3,humidade_4,precipitação_1,precipitação_2,precipitação_3,precipitação_4,el_12_1,el_12_2,el_12_3,el_12_4,el_34_1,el_34_2,el_34_3,el_34_4,el_3_1,el_3_2,el_3_3,el_3_4,el_4_1,el_4_2,el_4_3,el_4_4,NTA_1,NTA_2,NTA_3,NTA_4,TNA_1,TNA_2,TNA_3,TNA_4,TSA_1,TSA_2,TSA_3,TSA_4,crop_anterior,crop_fortaleza_total
186.2,230.1,175.7,229.7,1006.537634,1007.783333,1006.346237,1006.335556,27.716774,28.36,27.770323,28.133333,80.653226,77.87963,83.107143,82.4,176.3,55.6,385.1,182.3,28.12,28.74,29.23,28.22,28.93,28.78,28.62,28.6,28.74,28.9,29.12,29.22,28.95,28.79,28.62,28.56,0.47,0.58,0.67,0.56,0.43,0.77,0.75,0.59,0.72,0.74,0.69,0.54,45,302
245.0,183.5,161.1,157.1,1006.335484,1006.577381,1006.190323,1007.497778,27.636129,27.499286,26.556774,26.537333,74.241935,77.232143,83.612903,84.041667,59.3,166.0,237.4,328.3,23.79,25.56,26.45,24.64,24.86,25.43,26.33,26.7,24.41,25.52,26.68,26.71,26.64,26.56,26.98,27.41,-0.11,-0.32,-0.38,-0.31,-0.1,-0.2,-0.23,-0.13,0.13,0.05,0.33,0.45,302,302
213.1,188.2,174.6,124.3,1006.937634,1008.275862,1006.774194,1007.79,26.934839,27.267586,26.951613,26236.0,80.387097,77.896552,82.185484,86.291667,246.9,161.0,323.9,507.1,23.81,25.48,26.02,25.5,24.78,25.21,26.3,26.95,24.0,25.27,26.7,27.41,26.99,26.73,26.89,27.2,-0.13,-0.16,-0.14,-0.15,-0.18,-0.1,0.06,-0.01,0.21,0.39,0.4,0.37,302,292
134.4,210.6,182.6,153.3,1009.384783,1009.425301,1009.327957,1008.741111,26.627097,27.263571,26.757419,26.317333,85.451613,80.991071,85.798387,87.358333,287.5,88.3,344.3,505.2,23.79,26.03,27.25,26.35,26.39,26.71,27.29,27.84,25.17,26.16,27.35,27.58,28.72,28.66,28.57,29.03,0.61,0.51,0.25,0.0,0.78,0.53,0.37,-0.02,0.14,-0.06,0.29,0.31,259,182
234.6,121.3,119.6,140.5,1009.811828,1009.022619,1008.75914,1009.307778,27.463226,26.754286,26.286452,26.409333,77.33871,84.642857,86.854839,85.6,151.0,255.3,547.9,498.8,24.69,25.98,26.42,24.98,27.15,27.39,27.65,27.68,26.23,26.84,27.39,27.14,28.89,28.88,28.92,28.96,-0.0,0.01,-0.02,0.01,0.27,0.0,0.04,0.0,0.56,0.57,0.63,0.42,182,150
135.2,140.0,203.8,202.1,1008.132258,1008.964368,1008.4,1008.662222,26.857419,26.574483,26.991613,27.127333,83.580645,84.405172,82.991935,81.241667,447.2,356.1,515.8,106.5,24.36,26.03,25.75,24.96,26.81,26.98,27.4,27.89,26.08,26.7,27.34,27.52,28.75,28.57,28.42,28.71,0.49,0.47,0.38,0.19,0.5,0.51,0.36,0.46,0.41,0.22,-0.01,-0.26,150,109
240.9,215.5,186.9,201.9,1008.04086,1007.621429,1008.734409,1008.482222,28.237419,28.31,27.839355,27.78,73.774194,75.901786,79.056452,79925.0,9.5,109.3,193.8,205.8,24.54,25.16,25.03,25.12,27.21,27.11,27.73,28.08,25.98,26.31,27.14,27.53,29.2,28.87,28.93,29.05,0.38,0.47,0.57,0.75,0.46,0.38,0.68,0.81,0.61,0.49,0.61,0.29,109,104
263.6,186.2,195.0,120.3,1007.578495,1008.190476,1008.4,1007.832222,28.007742,27.649286,27.338065,26.503333,72.612903,77.5,80.451613,86.583333,42.8,105.5,207.7,574.5,24.19,26.32,26.2,24.04,25.63,26.08,26.57,27.5,24.85,26.06,26.65,27.16,27.82,27.52,27.73,28.29,0.39,0.19,0.16,0.25,0.41,0.19,0.18,0.41,0.04,0.23,0.41,0.31,104,108
253.7,134.6,167.0,155.6,1008.815054,1008.892857,1008.210753,1008.756667,28.268387,27.134286,26.985161,26.996667,75.274194,81.098214,81.862903,83.008333,37.3,329.0,340.5,359.4,25.23,26.21,25.84,24.31,27.24,26.88,27.1,27.5,26.53,26.49,26.8,26.95,28.97,28.66,28.66,28.73,0.4,0.42,0.44,0.31,0.46,0.56,0.33,0.4,0.24,0.21,0.04,0.24,108,127
188.3,244.0,135.1,117.6,1007.766667,1008.6,1007.92043,1007.455556,27.070968,27.603448,26.465161,26.118667,80.266129,76.336207,83.427419,87.316667,278.4,62.7,316.4,483.2,24.08,26.32,26.88,25.94,24.86,25.08,26.07,26.83,24.19,25.16,26.45,27.12,26.87,26.62,26.97,27.46,0.03,0.08,0.11,0.1,0.14,0.18,0.27,0.09,0.19,0.36,0.6,0.64,127,117
222.6,163.3,112.7,116.5,1008.683871,1007.939286,1007.948387,1008.99,27.314839,26.754286,26.228387,26186.0,77.604839,82.339286,86.612903,87.158333,162.0,307.0,479.5,561.0,24.4,25.42,25.67,25.94,25.66,25.96,26.59,27.47,25.15,25.84,26.49,27.41,27.37,27.35,27.74,28.37,-0.12,-0.29,-0.4,-0.38,0.07,-0.37,-0.34,-0.31,0.45,0.35,0.54,0.52,117,80
239.7,232.9,218.4,190.1,1008.533333,1007.796429,1008.211828,1007.77,27.830968,28.438571,28.245161,27804.0,76.870968,77.294643,78.008065,82.166667,70.9,76.2,234.7,310.0,24.85,26.22,26.56,25.43,28.07,28.01,28.18,28.2,26.73,27.28,27.76,27.85,29.44,29.08,29.07,29.13,0.57,0.83,1.04,1.13,0.8,1.07,1.27,1.4,0.79,0.68,0.89,0.68,80,81
160.2,171.1,207.4,115.6,1007.197849,1007.939286,1007.749462,1008.21,26.458065,26.715714,26.8,26.113333,83.91129,84.035714,83.024194,87.066667,668.3,308.6,375.6,387.3,24.08,25.94,25.61,25.34,25.0,25.64,26.36,27.05,24.4,25.63,26.47,27.25,26.92,27.15,27.51,27.89,0.81,0.64,0.43,0.33,0.97,0.53,0.41,0.33,0.45,0.59,0.72,0.49,81,87
268.8,193.0,206.3,207.2,1008.680645,1008.170115,1008.796774,1008.482222,27.664516,26.773103,26.876774,27296.0,75.266129,80.818966,81.725806,81.3,48.2,210.0,302.4,152.1,24.38,26.46,26.65,26.44,25.67,26.08,26.67,27.32,25.09,26.22,27.02,27.56,27.3,27.29,27.56,28.03,-0.08,-0.15,-0.17,-0.1,0.16,-0.02,-0.26,-0.17,-0.32,-0.51,-0.08,-0.33,87,84
267.4,221.0,241.6,198.4,1008.872043,1007.980952,1008.522581,1008.805556,27.940645,28.180714,28.365806,27.579333,76.33871,75.669643,76.951613,79975.0,46.7,109.5,72.7,154.6,23.89,25.37,25.81,24.31,26.01,26.24,27.03,27.57,25.0,25.84,27.08,27.22,28.24,28.01,27.95,28.36,0.43,0.46,0.48,0.53,0.44,0.4,0.7,0.53,0.39,0.25,0.26,0.35,84,42
229.8,197.4,184.5,166.4,1008.982796,1008.12381,1008.655914,1008.843333,27.560645,27.043571,27.192903,26.912667,77.346774,80.178571,81.112903,84.558333,67.2,144.2,330.6,266.9,24.56,25.49,26.17,25.51,26.05,26.14,27.0,27.9,25.23,25.62,26.89,27.64,28.14,28.27,28.6,28.98,0.01,-0.19,-0.23,-0.17,0.13,-0.08,-0.35,-0.21,0.11,0.22,0.22,0.23,42,25
277.6,177.5,170.6,176.7,1009.968817,1009.167857,1008.744086,1009.271111,27.398065,27.543571,26.879355,26.888667,76.274194,79.1875,83.403226,84975.0,72.2,144.6,377.7,296.4,24.41,25.57,26.57,26.54,27.05,27.17,27.75,28.52,26.01,26.46,27.3,28.21,29.07,29.07,29.22,29.61,0.09,-0.05,-0.18,-0.16,0.17,0.11,-0.11,-0.24,0.43,0.42,0.23,0.36,25,25
