insolacao_1,insolacao_2,insolacao_3,insolacao_4,pressao_1,pressao_2,pressao_3,pressao_4,temp_condensada_1,temp_condensada_2,temp_condensada_3,temp_condensada_4,humidade_1,humidade_2,humidade_3,humidade_4,precipitação_1,precipitação_2,precipitação_3,precipitação_4,el_12_1,el_12_2,el_12_3,el_12_4,el_34_1,el_34_2,el_34_3,el_34_4,el_3_1,el_3_2,el_3_3,el_3_4,el_4_1,el_4_2,el_4_3,el_4_4,NTA_1,NTA_2,NTA_3,NTA_4,TNA_1,TNA_2,TNA_3,TNA_4,TSA_1,TSA_2,TSA_3,TSA_4,crop_anterior,crop_quixeramobim_milho
173.0,233.9,214.7,248.1,983.429032,983.982143,982.932258,983.381111,28.136774,29.287143,29.24129,29368.0,66.814516,58.294643,62.991935,62.408333,86.2,26.2,42.3,52.0,28.12,28.74,29.23,28.22,28.93,28.78,28.62,28.6,28.74,28.9,29.12,29.22,28.95,28.79,28.62,28.56,0.47,0.58,0.67,0.56,0.43,0.77,0.75,0.59,0.72,0.74,0.69,0.54,5600,6000
244.7,210.1,216.7,219.1,983.06129,983.265476,983.250538,984.66,28.294194,28.184286,26.73871,26.914667,57.677419,59.357143,71.137097,67.8,126.5,97.6,169.6,112.1,23.79,25.56,26.45,24.64,24.86,25.43,26.33,26.7,24.41,25.52,26.68,26.71,26.64,26.56,26.98,27.41,-0.11,-0.32,-0.38,-0.31,-0.1,-0.2,-0.23,-0.13,0.13,0.05,0.33,0.45,6000,8000
217.4,200.7,208.7,215.3,984.996774,985.894253,985.08172,985.536667,27.021935,27.017931,26.917419,25.99,72.943548,74.491379,77.806452,77.983333,73.0,70.7,138.3,221.4,23.81,25.48,26.02,25.5,24.78,25.21,26.3,26.95,24.0,25.27,26.7,27.41,26.99,26.73,26.89,27.2,-0.13,-0.16,-0.14,-0.15,-0.18,-0.1,0.06,-0.01,0.21,0.39,0.4,0.37,8000,8500
239.4,161.8,218.6,229.3,985.864516,985.696429,985.684946,986.08,28.323871,27.392857,26.447097,26.79,61.475806,71.035714,77.758065,78.391667,55.1,122.9,157.7,172.9,24.69,25.98,26.42,24.98,27.15,27.39,27.65,27.68,26.23,26.84,27.39,27.14,28.89,28.88,28.92,28.96,-0.0,0.01,-0.02,0.01,0.27,0.0,0.04,0.0,0.56,0.57,0.63,0.42,10520,12000
155.4,175.8,237.0,235.9,984.869892,984.237931,983.850538,984.023333,26.810323,25.568966,25.662581,25.985333,84.072581,85.922414,84.024194,77.083333,305.4,197.6,177.3,130.4,24.36,26.03,25.75,24.96,26.81,26.98,27.4,27.89,26.08,26.7,27.34,27.52,28.75,28.57,28.42,28.71,0.49,0.47,0.38,0.19,0.5,0.51,0.36,0.46,0.41,0.22,-0.01,-0.26,12000,12100
214.3,201.1,194.5,247.5,982.767742,982.094048,983.184946,983.101111,28.709032,29.077143,28.006452,27.440667,59.903226,62.258929,67.532258,71025.0,23.6,15.6,88.4,79.2,24.54,25.16,25.03,25.12,27.21,27.11,27.73,28.08,25.98,26.31,27.14,27.53,29.2,28.87,28.93,29.05,0.38,0.47,0.57,0.75,0.46,0.38,0.68,0.81,0.61,0.49,0.61,0.29,12100,6000
289.8,170.6,232.9,197.8,982.843011,983.209524,984.183871,984.468889,28.598065,27.842143,26.598065,26.14,55.629032,62.464286,66.145161,70.583333,75.0,31.8,157.8,135.4,24.19,26.32,26.2,24.04,25.63,26.08,26.57,27.5,24.85,26.06,26.65,27.16,27.82,27.52,27.73,28.29,0.39,0.19,0.16,0.25,0.41,0.19,0.18,0.41,0.04,0.23,0.41,0.31,6000,8000
266.8,147.4,226.5,193.0,986.507527,986.188095,986.152688,986.36,28.88,27.02,26.10129,26.56,63.225806,74.357143,74.169355,68.0,7.0,175.8,145.4,96.5,25.23,26.21,25.84,24.31,27.24,26.88,27.1,27.5,26.53,26.49,26.8,26.95,28.97,28.66,28.66,28.73,0.4,0.42,0.44,0.31,0.46,0.56,0.33,0.4,0.24,0.21,0.04,0.24,8000,8980
211.1,227.0,167.2,179.3,984.636559,985.549425,984.678495,984.477778,27.649032,27.497241,25.387742,24.843333,56.451613,58.603448,68.604839,65.966667,83.6,47.2,250.4,139.6,24.08,26.32,26.88,25.94,24.86,25.08,26.07,26.83,24.19,25.16,26.45,27.12,26.87,26.62,26.97,27.46,0.03,0.08,0.11,0.1,0.14,0.18,0.27,0.09,0.19,0.36,0.6,0.64,8980,8652
224.1,171.2,186.6,158.0,986.753763,987.038095,986.553763,987.556667,28.102581,26.738571,25.836774,25.256667,59.556452,69.223214,75.5,74.916667,30.8,100.7,163.6,320.7,24.4,25.42,25.67,25.94,25.66,25.96,26.59,27.47,25.15,25.84,26.49,27.41,27.37,27.35,27.74,28.37,-0.12,-0.29,-0.4,-0.38,0.07,-0.37,-0.34,-0.31,0.45,0.35,0.54,0.52,8652,10530
202.6,201.0,235.4,211.1,984.931183,984.479762,983.975269,984.288889,27.448387,29.182857,28.872258,26.860667,55.862903,47.348214,47.112903,55.541667,64.2,18.4,103.0,225.4,24.85,26.22,26.56,25.43,28.07,28.01,28.18,28.2,26.73,27.28,27.76,27.85,29.44,29.08,29.07,29.13,0.57,0.83,1.04,1.13,0.8,1.07,1.27,1.4,0.79,0.68,0.89,0.68,10530,4208
192.6,186.6,223.3,195.4,985.546237,987.187719,985.973626,986.263333,25.906452,25.684286,25.494194,25484.0,78.854839,85.482143,81.83871,82925.0,137.7,145.5,156.6,173.1,24.08,25.94,25.61,25.34,25.0,25.64,26.36,27.05,24.4,25.63,26.47,27.25,26.92,27.15,27.51,27.89,0.81,0.64,0.43,0.33,0.97,0.53,0.41,0.33,0.45,0.59,0.72,0.49,4208,15415
239.9,191.7,252.7,231.6,987.705128,986.696552,985.932258,985.622222,27.874839,27.048276,27.322581,27916.0,71.822581,73.87069,69.040323,66.491667,12.0,110.4,63.3,66.2,24.38,26.46,26.65,26.44,25.67,26.08,26.67,27.32,25.09,26.22,27.02,27.56,27.3,27.29,27.56,28.03,-0.08,-0.15,-0.17,-0.1,0.16,-0.02,-0.26,-0.17,-0.32,-0.51,-0.08,-0.33,15415,-
227.9,237.6,227.1,202.6,986.197436,985.703571,986.007527,986.523333,29.025806,28.846429,28.592258,27.454667,65.129032,60.080357,62.709677,74.508333,3.7,57.8,43.2,145.5,23.89,25.37,25.81,24.31,26.01,26.24,27.03,27.57,25.0,25.84,27.08,27.22,28.24,28.01,27.95,28.36,0.43,0.46,0.48,0.53,0.44,0.4,0.7,0.53,0.39,0.25,0.26,0.35,-,5060
231.2,188.0,220.8,203.4,985.734615,985.065476,985.55914,985.133333,28.220645,27.439286,26.760645,26764.0,75.346774,76.642857,83.072581,85.283333,6.2,46.6,152.6,67.7,24.56,25.49,26.17,25.51,26.05,26.14,27.0,27.9,25.23,25.62,26.89,27.64,28.14,28.27,28.6,28.98,0.01,-0.19,-0.23,-0.17,0.13,-0.08,-0.35,-0.21,0.11,0.22,0.22,0.23,5060,4000
276.6,196.2,191.5,235.4,982.916667,983.191667,984.515054,986.176667,28.53871,27.911429,26.878065,26956.0,66.209677,72.053571,78.266129,79.158333,10.4,107.9,160.7,50.5,24.41,25.57,26.57,26.54,27.05,27.17,27.75,28.52,26.01,26.46,27.3,28.21,29.07,29.07,29.22,29.61,0.09,-0.05,-0.18,-0.16,0.17,0.11,-0.11,-0.24,0.43,0.42,0.23,0.36,4000,10880
227.1,170.7,188.1,157.2,986.502151,986.507143,986.419355,986.251111,27.428387,26.85,26.339355,26312.0,70.298387,80.767857,83.709677,85.608333,193.4,125.8,97.5,131.4,25.4,26.62,26.61,25.83,27.19,27.46,28.09,28.44,26.26,26.99,27.84,28.13,29.08,28.91,28.96,29.15,-0.04,-0.09,-0.09,-0.09,0.08,0.14,0.01,-0.02,0.75,0.68,1.02,0.65,12800,12135
